Part,Quantity,Price / Item in USD,Price Total in USD,Source,Total:,196.9
3D Printing Filament,3,29.99,89.97,3D Fuel,,
6061 Hex shaft,1,14.99,14.99,https://amzn.to/3J3LaIp,,
20x20mm 400m Extrusion,1,18.99,18.99,https://amzn.to/3KJwqPu,,
20x20mm 200m Aluminum Extrusion,4,14.99,59.96,https://amzn.to/3J8vjZ0,,
Alu-Extrusion T-nuts,1,12.99,12.99,https://amzn.to/4h4ZLQx,,
